team_id,team,team_provider,player,status,short_id,provider_id,position,tournament_season_id,team_2627,team_id_26-27,team_provider_id_26-27,change_type,source_url,confidence,notes
6e09f000-1b71-426f-b349-2c528cba8584,Vodacom Bulls,97,Sintu Manjezi,ACTIVE,7146,25050,lock,b314ec41-b6b0-4274-a98f-4a675628d202,Vodacom Bulls,6e09f000-1b71-426f-b349-2c528cba8584,97,stay,,,
9e46b555-7bd7-4113-9005-641caab27c3c,Ulster Rugby,2450,Callum Reid,ACTIVE,7116,24771,prop,b314ec41-b6b0-4274-a98f-4a675628d202,Ulster Rugby,9e46b555-7bd7-4113-9005-641caab27c3c,2450,stay,,,
bdb20011-d913-4688-b8fa-38a2a96c22b2,Dragons RFC,3100,Fine Inisi,ACTIVE,8163,33905,scrum-half,b314ec41-b6b0-4274-a98f-4a675628d202,Dragons RFC,bdb20011-d913-4688-b8fa-38a2a96c22b2,3100,stay,,,
6959008c-ebd2-49ed-b1db-29a124e3e922,Harlequins,1150,James Chisholm,ACTIVE,6934,20921,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,Harlequins,6959008c-ebd2-49ed-b1db-29a124e3e922,1150,stay,,,
3bb58f66-38c1-4f9c-adff-0ac33a01533b,Saracens,1500,Andy Onyeama-Christie,ACTIVE,7262,28737,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,Saracens,3bb58f66-38c1-4f9c-adff-0ac33a01533b,1500,stay,,,
804c604a-08f9-4d6c-b74d-2936f9b370dc,Gloucester Rugby,1100,Ollie Minnis,ACTIVE,8310,925042,prop,9233192a-bfed-489b-b224-5c9e02f587de,Gloucester Rugby,804c604a-08f9-4d6c-b74d-2936f9b370dc,1100,stay,,,
804c604a-08f9-4d6c-b74d-2936f9b370dc,Gloucester Rugby,1100,Danny Eite,ACTIVE,7889,58030,lock,9233192a-bfed-489b-b224-5c9e02f587de,Gloucester Rugby,804c604a-08f9-4d6c-b74d-2936f9b370dc,1100,stay,,,
e33c7a17-a675-46a9-b68c-be767cc211db,Northampton Saints,1400,Henry Pollock,ACTIVE,7833,57052,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,Northampton Saints,e33c7a17-a675-46a9-b68c-be767cc211db,1400,stay,,,
ee3c51c4-b2f3-42ba-9434-37c4455d9276,DHL Stormers,99,Ruan Ackermann,ACTIVE,7023,22733,loose-forward,b314ec41-b6b0-4274-a98f-4a675628d202,DHL Stormers,ee3c51c4-b2f3-42ba-9434-37c4455d9276,99,stay,,,
af6ad454-5636-4711-be6d-1cb29078219a,Lions,63,Ruan Delport,ACTIVE,7644,39176,loose-forward,b314ec41-b6b0-4274-a98f-4a675628d202,Lions,af6ad454-5636-4711-be6d-1cb29078219a,63,stay,,,
41d2c944-4a5a-4de0-8eb4-e5b57835cff7,Connacht Rugby,3400,Paul Boyle,ACTIVE,7133,24824,loose-forward,b314ec41-b6b0-4274-a98f-4a675628d202,Connacht Rugby,41d2c944-4a5a-4de0-8eb4-e5b57835cff7,3400,stay,,,
e2ae68bd-54f2-4e38-89fc-53dcce5add02,Hollywoodbets Sharks,98,Meno Barnard,ACTIVE,7787,44332,lock,b314ec41-b6b0-4274-a98f-4a675628d202,Hollywoodbets Sharks,e2ae68bd-54f2-4e38-89fc-53dcce5add02,98,stay,,,
e33c7a17-a675-46a9-b68c-be767cc211db,Northampton Saints,1400,Trevor Davison,ACTIVE,7265,29313,prop,9233192a-bfed-489b-b224-5c9e02f587de,Northampton Saints,e33c7a17-a675-46a9-b68c-be767cc211db,1400,stay,,,
804c604a-08f9-4d6c-b74d-2936f9b370dc,Gloucester Rugby,1100,Seb Blake,ACTIVE,7684,39828,hooker,9233192a-bfed-489b-b224-5c9e02f587de,Gloucester Rugby,804c604a-08f9-4d6c-b74d-2936f9b370dc,1100,stay,,,
3bb58f66-38c1-4f9c-adff-0ac33a01533b,Saracens,1500,Kapeli Pifeleti,ACTIVE,7407,33820,hooker,9233192a-bfed-489b-b224-5c9e02f587de,Saracens,3bb58f66-38c1-4f9c-adff-0ac33a01533b,1500,stay,,,
6959008c-ebd2-49ed-b1db-29a124e3e922,Harlequins,1150,Cadan Murley,ACTIVE,7261,28736,outside-back,9233192a-bfed-489b-b224-5c9e02f587de,Harlequins,6959008c-ebd2-49ed-b1db-29a124e3e922,1150,stay,,,
ee3c51c4-b2f3-42ba-9434-37c4455d9276,DHL Stormers,99,Wandisile Simelane,ACTIVE,7196,26820,centre,b314ec41-b6b0-4274-a98f-4a675628d202,DHL Stormers,ee3c51c4-b2f3-42ba-9434-37c4455d9276,99,stay,,,
9e46b555-7bd7-4113-9005-641caab27c3c,Ulster Rugby,2450,Juarno Augustus,ACTIVE,7157,25380,loose-forward,b314ec41-b6b0-4274-a98f-4a675628d202,Ulster Rugby,9e46b555-7bd7-4113-9005-641caab27c3c,2450,stay,,,
ef455f5f-f067-4d29-ab67-f6e14b44a1e7,Leicester Tigers,1250,Harry Wells,ACTIVE,6855,19208,lock,9233192a-bfed-489b-b224-5c9e02f587de,,,,departed,https://en.wikipedia.org/wiki/List_of_2026%E2%80%9327_Premiership_Rugby_transfers ; https://all.rugby/transfers/premiership,Medium,To Bedford Blues
6959008c-ebd2-49ed-b1db-29a124e3e922,Harlequins,1150,Sam Riley,ACTIVE,7481,35564,hooker,9233192a-bfed-489b-b224-5c9e02f587de,Harlequins,6959008c-ebd2-49ed-b1db-29a124e3e922,1150,stay,,,
ca7c6d0f-7bef-4fad-8ac2-d202471fa122,Exeter Chiefs,84,Elliot Young,ACTIVE,7913,58542,hooker,9233192a-bfed-489b-b224-5c9e02f587de,Exeter Chiefs,ca7c6d0f-7bef-4fad-8ac2-d202471fa122,84,stay,,,
ca7c6d0f-7bef-4fad-8ac2-d202471fa122,Exeter Chiefs,84,Joseph Dweba,ACTIVE,6980,21706,hooker,9233192a-bfed-489b-b224-5c9e02f587de,Exeter Chiefs,ca7c6d0f-7bef-4fad-8ac2-d202471fa122,84,stay,,,
473a715d-80f5-4707-a8e2-52902fadc9bc,Sale Sharks,1450,Gus Warr,ACTIVE,7347,31240,scrum-half,9233192a-bfed-489b-b224-5c9e02f587de,Sale Sharks,473a715d-80f5-4707-a8e2-52902fadc9bc,1450,stay,,,
e2ae68bd-54f2-4e38-89fc-53dcce5add02,Hollywoodbets Sharks,98,Lukhanyo Am,ACTIVE,7106,24535,centre,b314ec41-b6b0-4274-a98f-4a675628d202,Hollywoodbets Sharks,e2ae68bd-54f2-4e38-89fc-53dcce5add02,98,stay,,,
6e09f000-1b71-426f-b349-2c528cba8584,Vodacom Bulls,97,Sebastian de Klerk,ACTIVE,7556,37866,centre,b314ec41-b6b0-4274-a98f-4a675628d202,Vodacom Bulls,6e09f000-1b71-426f-b349-2c528cba8584,97,stay,,,
09c7ae37-447c-4020-9e2e-b5239ee2d58b,Scarlets,1700,Gabe Hawley,ACTIVE,8096,68543,prop,b314ec41-b6b0-4274-a98f-4a675628d202,Scarlets,09c7ae37-447c-4020-9e2e-b5239ee2d58b,1700,stay,,,
b05b5971-dd90-44ae-999d-7bde3b2ebf96,Ospreys,3250,Caelan Carson-Jones,ACTIVE,8231,903072,scrum-half,b314ec41-b6b0-4274-a98f-4a675628d202,Ospreys,b05b5971-dd90-44ae-999d-7bde3b2ebf96,3250,stay,,,
